Group,Task,Run,Item,Desc,Passed
C,1,3,1-14,HAZMAT 0% 예외 없음,True
C,1,3,1-15,PO유형 가중치,True
C,1,3,1-16,성수기 가중치,True
C,1,3,1-17,manufacture_date 필수,True
C,1,3,1-18,잔여율 < 30% 거부,True
C,1,3,1-19,잔여율 30~50% 승인 필요,True
C,1,3,1-20,보관유형 호환 체크,True
C,1,3,1-21,HAZMAT zone 체크,True
C,1,3,1-22,실사 동결 로케이션 거부,True
C,1,3,1-23,페널티 기록 (OVER_DELIVERY),True
C,1,3,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
C,1,3,1-25,페널티 3회 → PO hold,True
C,1,4,1-1,PO 연결 필수,True
C,1,4,1-2,2단계 프로세스,True
C,1,4,1-3,초과입고 제한 로직,True
C,1,4,1-4,초과입고 거부 응답,True
C,1,4,1-5,재고 반영 시점 (confirmed),True
C,1,4,1-6,유통기한 필수 체크,True
C,1,4,1-7,유통기한 비관리 처리,True
C,1,4,1-8,received_qty 누적,True
C,1,4,1-9,PO 상태 completed,True
C,1,4,1-10,PO 상태 partial,True
C,1,4,1-11,location.current_qty 갱신,True
C,1,4,1-12,입고 거부 시 무변동,True
C,1,4,1-13,카테고리별 초과율 차등,True
C,1,4,1-14,HAZMAT 0% 예외 없음,True
C,1,4,1-15,PO유형 가중치,True
C,1,4,1-16,성수기 가중치,True
C,1,4,1-17,manufacture_date 필수,True
C,1,4,1-18,잔여율 < 30% 거부,True
C,1,4,1-19,잔여율 30~50% 승인 필요,True
C,1,4,1-20,보관유형 호환 체크,True
C,1,4,1-21,HAZMAT zone 체크,True
C,1,4,1-22,실사 동결 로케이션 거부,True
C,1,4,1-23,페널티 기록 (OVER_DELIVERY),True
C,1,4,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
C,1,4,1-25,페널티 3회 → PO hold,True
C,1,5,1-1,PO 연결 필수,True
C,1,5,1-2,2단계 프로세스,True
C,1,5,1-3,초과입고 제한 로직,True
C,1,5,1-4,초과입고 거부 응답,True
C,1,5,1-5,재고 반영 시점 (confirmed),True
C,1,5,1-6,유통기한 필수 체크,True
C,1,5,1-7,유통기한 비관리 처리,True
C,1,5,1-8,received_qty 누적,True
C,1,5,1-9,PO 상태 completed,True
C,1,5,1-10,PO 상태 partial,True
C,1,5,1-11,location.current_qty 갱신,True
C,1,5,1-12,입고 거부 시 무변동,True
C,1,5,1-13,카테고리별 초과율 차등,True
C,1,5,1-14,HAZMAT 0% 예외 없음,True
C,1,5,1-15,PO유형 가중치,True
C,1,5,1-16,성수기 가중치,True
C,1,5,1-17,manufacture_date 필수,True
C,1,5,1-18,잔여율 < 30% 거부,True
C,1,5,1-19,잔여율 30~50% 승인 필요,True
C,1,5,1-20,보관유형 호환 체크,True
C,1,5,1-21,HAZMAT zone 체크,True
C,1,5,1-22,실사 동결 로케이션 거부,True
C,1,5,1-23,페널티 기록 (OVER_DELIVERY),True
C,1,5,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
C,1,5,1-25,페널티 3회 → PO hold,True
C,2,1,2-1,FIFO 적용,True
C,2,1,2-2,FEFO 우선 적용,True
C,2,1,2-3,FEFO 동률 시 FIFO,True
C,2,1,2-4,분할 피킹,True
C,2,1,2-5,만료 재고 제외,True
C,2,1,2-6,부분출고,True
C,2,1,2-7,백오더 자동 생성,True
C,2,1,2-8,picked_qty 기록,True
C,2,1,2-9,부분출고 상태 partial,True
C,2,1,2-10,전량 백오더,True
C,2,1,2-11,inventory.quantity 차감,True
C,2,1,2-12,location.current_qty 차감,True
C,2,1,2-13,피킹 상세 반환,False
C,2,1,2-14,출고 완료 shipped,True
C,2,1,2-15,is_expired 재고 제외,True
C,2,1,2-16,실사 동결 로케이션 제외,True
C,2,1,2-17,잔여율 < 30% 최우선 출고,True
